time,left ear,left forehead,right forehead,right ear
0,-13.443,-1.1961,4.9684,-11.04
1.2383,12.877,3.7388,0.033493,2.1198
1.2428,11.232,-1.1961,1.6785,3.7648
1.2473,4.6521,-6.1311,0.033493,0.47489
1.2518,1.3621,-4.4861,0.033493,3.7648
1.2563,-3.5728,-4.4861,-3.2565,3.7648
1.2609,-1.9278,-1.1961,-4.9015,-1.1701
1.2654,7.9421,2.0938,-4.9015,5.4098
1.2699,-1.9278,-4.4861,-4.9015,5.4098
1.2744,-8.5078,-2.8411,-4.9015,-4.46
1.2789,-3.5728,0.44883,-6.5465,-2.8151
1.2835,-1.9278,-2.8411,-4.9015,0.47489
1.288,9.587,5.3838,-4.9015,5.4098
1.2925,16.167,0.44883,-1.6115,13.635
1.297,21.102,3.7388,-1.6115,8.6997
1.3015,24.392,-1.1961,-3.2565,11.99
1.3061,11.232,-6.1311,0.033493,8.6997
1.3106,4.6521,-2.8411,-1.6115,7.0548
1.3151,-6.8628,-7.7761,1.6785,10.345
1.3196,-13.443,-7.7761,0.033493,5.4098
1.3241,-11.798,-4.4861,0.033493,3.7648
1.3287,-3.5728,-4.4861,4.9684,2.1198
1.3332,-0.28286,-7.7761,3.3234,10.345
1.3377,-3.5728,-2.8411,4.9684,2.1198
1.3422,-15.088,-6.1311,8.2583,-9.395
1.3467,-20.023,-2.8411,3.3234,-14.33
1.3513,-16.733,-1.1961,3.3234,-15.975
1.3558,-16.733,-1.1961,1.6785,-9.395
1.3603,-16.733,-6.1311,4.9684,-2.8151
1.3648,-16.733,-9.421,8.2583,-9.395
1.3693,-20.023,-9.421,8.2583,-24.2
1.3738,-23.313,-7.7761,6.6134,-34.07
1.3784,-28.248,-6.1311,3.3234,-37.36
1.3829,-13.443,-2.8411,1.6785,-22.555
1.3874,-8.5078,-6.1311,4.9684,-6.1051
1.3919,3.0071,-2.8411,3.3234,3.7648
1.3964,7.9421,-2.8411,3.3234,11.99
1.401,-1.9278,-6.1311,6.6134,16.925
1.4055,-8.5078,-9.421,8.2583,8.6997
1.41,-8.5078,-7.7761,4.9684,-1.1701
1.4145,7.9421,3.7388,4.9684,-1.1701
1.419,21.102,7.0288,4.9684,5.4098
1.4236,19.457,-1.1961,3.3234,10.345
1.4281,6.297,-4.4861,4.9684,8.6997
1.4326,1.3621,-2.8411,3.3234,2.1198
1.4371,11.232,0.44883,3.3234,7.0548
1.4416,7.9421,-2.8411,3.3234,16.925
